ADDRESS_FULL,ADDRESS_NUMBER,ADDRESS_POINT_ID,BICYCLE_CAPACITY,BY_LAW,CENTRELINE_ID,CITY,DETAILS,FLANKING,GENERAL_USE_CODE,HI_NUM,HI_NUM_SUF,ID,LATITUDE,LINEAR_NAME_FULL,LINEAR_NAME_ID,LONGITUDE,LO_NUM,LO_NUM_SUF,MUNICIPALITY,OBJECTID,PARKING_TYPE,PLACE_NAME,POSTAL_CODE,SIZE_M,WARD,X,Y,YEAR_INSTALLED,_id,geometry
1 Albany Ave,1,8417835,8,N/A,14014600,Toronto,,Bloor St W,115001,,,1,43.6657287758,Albany Ave,2859,-79.4099418347,1,,former Toronto,1,Bike Rack,,M5R 3C2,2.9,University-Rosedale (11),,,2017,7840,POINT (-79.40993859086826 43.6657201946865)
1 St Clair Ave E,1,10154425,24,N/A,10154405,Toronto,,Yonge St,115001,,,2,43.6879197451,St Clair Ave E,339,-79.3935741178,1,,former Toronto,2,Bike Rack,,M4T 2V7,2.9,Toronto-St. Paul's (12),,,2016,7841,POINT (-79.39357087440868 43.68791115683658)
10 Linnsmore Cres,10,7939998,18,N/A,14023269,Toronto,,Linnsmore Cr,115001,,,3,43.6825806212,Linnsmore Cres,11375,-79.3302953949,10,,former Toronto,3,Bike Rack,,M4J 4J6,2.9,Toronto-Danforth (14),,,2016,7842,POINT (-79.33029217089205 43.68257203170756)
100 Queen St W,100,856375,120,N/A,1145216,Toronto,,Queen St W,104001,,,4,43.65282214,Queen St W,4238,-79.383625059,100,,former Toronto,4,Bike Rack,Nathan Phillips Square,M5H 2N1,2.9,Spadina-Fort York (10),,,2015,7843,POINT (-79.38362505521314 43.65282214231822)
101 Sherbourne St,101,20140670,8,N/A,1144819,Toronto,,Richmond St E,112001,,,5,43.653670735,Sherbourne St,4391,-79.3689149321,101,,former Toronto,5,Bike Rack,,M5A 2R3,2.9,Toronto Centre (13),,,2016,7844,POINT (-79.36891169731643 43.65366215584925)
1030 King St W,1030,3120556,16,N/A,3155022,Toronto,,King St W,113001,,,6,43.6415894297,King St W,3780,-79.4157619233,1030,,former Toronto,6,Bike Rack,,M6K 0B4,2.9,Spadina-Fort York (10),,,2016,7845,POINT (-79.41575867546813 43.64158085366741)
1032 Bloor St W,1032,773157,8,N/A,1143789,Toronto,,Salem Ave,107010,,,7,43.6609655067,Bloor St W,458,-79.4316095102,1032,,former Toronto,7,Bike Rack,,M6H 1M2,2.9,Davenport (9),,,2015,7846,POINT (-79.43160625984351 43.66095692246044)
1034 Bloor St W,1034,773158,5,N/A,1143821,Toronto,,Salem Ave,107010,,,8,43.6608934566,Bloor St W,458,-79.4319374749,1034,,former Toronto,8,Angled Bike Rack,,M6H 1M3,2.9,Davenport (9),,,2016,7847,POINT (-79.4319342255372 43.66088487342197)
1036 Bloor St W,1036,14210930,8,N/A,1143821,Toronto,,Bloor St W,115001,,,9,43.6608299006,Bloor St W,458,-79.4319416136,1036,,former Toronto,9,Bike Rack,,M6H 1M3,2.9,Davenport (9),,,2014,7848,POINT (-79.43193836411021 43.66082131739292)
11 Charlotte St,11,14199241,8,N/A,14025593,Toronto,,Charlotte St,115001,,,10,43.64637784,Charlotte St,3147,-79.393669884,11,,former Toronto,10,Bike Rack,,M5V 0M6,2.9,Spadina-Fort York (10),,,2017,7849,POINT (-79.39366987847779 43.64637784242471)
